Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,2,16,16,0.5,0.001,0.0,0.6728395061728395,0.6707317073170732,0.6790123456790124,0.6748466257668712,0.726108824874257
p11,3,16,16,0.5,0.001,0.0,0.6172839506172839,0.611764705882353,0.6419753086419753,0.6265060240963856,0.6605700350556316
p11,4,16,16,0.5,0.001,0.0,0.6851851851851852,0.7164179104477612,0.6,0.6530612244897959,0.7323170731707317
p11,5,16,16,0.5,0.001,0.0,0.6049382716049383,0.625,0.5,0.5555555555555556,0.6414634146341462
p11,1,16,16,0.5,0.001,0.0001,0.6625766871165644,0.6805555555555556,0.6049382716049383,0.6405228758169934,0.6857874134296897
p11,2,16,16,0.5,0.001,0.0001,0.654320987654321,0.7777777777777778,0.43209876543209874,0.5555555555555556,0.7053802773967384
p11,3,16,16,0.5,0.001,0.0001,0.6358024691358025,0.6527777777777778,0.5802469135802469,0.6143790849673203,0.6470050297210792
p11,4,16,16,0.5,0.001,0.0001,0.6851851851851852,0.6933333333333334,0.65,0.6709677419354839,0.7144817073170732
p11,5,16,16,0.5,0.001,0.0001,0.5061728395061729,0.5,0.8625,0.6330275229357798,0.5908536585365854
p11,1,16,16,0.5,0.0005,0.0,0.6625766871165644,0.6625,0.654320987654321,0.6583850931677019,0.6722372779283348
p11,2,16,16,0.5,0.0005,0.0,0.6111111111111112,0.5775862068965517,0.8271604938271605,0.6802030456852792,0.7242798353909464
p11,3,16,16,0.5,0.0005,0.0,0.6234567901234568,0.6351351351351351,0.5802469135802469,0.6064516129032258,0.6515775034293553
p11,4,16,16,0.5,0.0005,0.0,0.6790123456790124,0.6891891891891891,0.6375,0.6623376623376623,0.7359756097560975
p11,5,16,16,0.5,0.0005,0.0,0.5925925925925926,0.609375,0.4875,0.5416666666666666,0.6004573170731706
p11,1,16,16,0.5,0.0005,0.0001,0.6687116564417178,0.68,0.6296296296296297,0.6538461538461539,0.6921108099969888
p11,2,16,16,0.5,0.0005,0.0001,0.6049382716049383,0.5752212389380531,0.8024691358024691,0.6701030927835051,0.6916628562719096
p11,3,16,16,0.5,0.0005,0.0001,0.6604938271604939,0.6805555555555556,0.6049382716049383,0.6405228758169934,0.6552354823959762
p11,4,16,16,0.5,0.0005,0.0001,0.6790123456790124,0.7058823529411765,0.6,0.6486486486486487,0.7442073170731709
p11,5,16,16,0.5,0.0005,0.0001,0.6172839506172839,0.6153846153846154,0.6,0.6075949367088608,0.630640243902439
p11,1,16,32,0.2,0.001,0.0,0.6687116564417178,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6702800361336947
p11,2,16,32,0.2,0.001,0.0,0.6172839506172839,0.8518518518518519,0.2839506172839506,0.42592592592592593,0.7239750038103948
p11,3,16,32,0.2,0.001,0.0,0.6049382716049383,0.6164383561643836,0.5555555555555556,0.5844155844155844,0.6302392927907331
p11,4,16,32,0.2,0.001,0.0,0.6728395061728395,0.684931506849315,0.625,0.6535947712418301,0.7153963414634147
p11,5,16,32,0.2,0.001,0.0,0.5123456790123457,0.6666666666666666,0.025,0.04819277108433735,0.646189024390244
p11,1,16,32,0.2,0.001,0.0001,0.6687116564417178,0.6708860759493671,0.654320987654321,0.6625,0.6707317073170732
p11,2,16,32,0.2,0.001,0.0001,0.6481481481481481,0.74,0.4567901234567901,0.5648854961832062,0.7305288827922573
p11,3,16,32,0.2,0.001,0.0001,0.6666666666666666,0.7076923076923077,0.5679012345679012,0.6301369863013698,0.6477671086724585
p11,4,16,32,0.2,0.001,0.0001,0.691358024691358,0.7205882352941176,0.6125,0.6621621621621622,0.7384146341463415
p11,5,16,32,0.2,0.001,0.0001,0.6234567901234568,0.6301369863013698,0.575,0.6013071895424836,0.6821646341463414
p11,1,16,32,0.2,0.0005,0.0,0.6380368098159509,0.6375,0.6296296296296297,0.6335403726708074,0.6681722372779283
p11,2,16,32,0.2,0.0005,0.0,0.6481481481481481,0.6304347826086957,0.7160493827160493,0.6705202312138728,0.7001981405273586
p11,3,16,32,0.2,0.0005,0.0,0.6419753086419753,0.6619718309859155,0.5802469135802469,0.618421052631579,0.6648376771833563
p11,4,16,32,0.2,0.0005,0.0,0.6728395061728395,0.6901408450704225,0.6125,0.6490066225165563,0.7192073170731708
p11,5,16,32,0.2,0.0005,0.0,0.5740740740740741,0.5486725663716814,0.775,0.6424870466321243,0.6335365853658537
p11,1,16,32,0.2,0.0005,0.0001,0.6687116564417178,0.68,0.6296296296296297,0.6538461538461539,0.6696778078891901
p11,2,16,32,0.2,0.0005,0.0001,0.6975308641975309,0.6818181818181818,0.7407407407407407,0.7100591715976331,0.7387593354671544
p11,3,16,32,0.2,0.0005,0.0001,0.6111111111111112,0.6125,0.6049382716049383,0.6086956521739131,0.6601127876848042
p11,4,16,32,0.2,0.0005,0.0001,0.6728395061728395,0.6956521739130435,0.6,0.6442953020134228,0.7314024390243903
p11,5,16,32,0.2,0.0005,0.0001,0.5617283950617284,0.6097560975609756,0.3125,0.4132231404958678,0.6458841463414634
p11,1,16,32,0.3,0.001,0.0,0.6809815950920245,0.6933333333333334,0.6419753086419753,0.6666666666666666,0.6865401987353207
p11,2,16,32,0.3,0.001,0.0,0.7098765432098766,0.7428571428571429,0.6419753086419753,0.6887417218543046,0.7547629934461211
p11,3,16,32,0.3,0.001,0.0,0.6419753086419753,0.6716417910447762,0.5555555555555556,0.6081081081081081,0.6402987349489406
p11,4,16,32,0.3,0.001,0.0,0.6481481481481481,0.6575342465753424,0.6,0.6274509803921569,0.723170731707317
p11,5,16,32,0.3,0.001,0.0,0.5864197530864198,0.5970149253731343,0.5,0.54421768707483,0.6338414634146341
p11,1,16,32,0.3,0.001,0.0001,0.6441717791411042,0.6455696202531646,0.6296296296296297,0.6375,0.6683227943390545
p11,2,16,32,0.3,0.001,0.0001,0.6666666666666666,0.684931506849315,0.6172839506172839,0.6493506493506493,0.727328151196464
p11,3,16,32,0.3,0.001,0.0001,0.6358024691358025,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6648376771833561
p11,4,16,32,0.3,0.001,0.0001,0.691358024691358,0.7205882352941176,0.6125,0.6621621621621622,0.717530487804878
p11,5,16,32,0.3,0.001,0.0001,0.5679012345679012,0.5625,0.5625,0.5625,0.616310975609756
p11,1,16,32,0.3,0.0005,0.0,0.6625766871165644,0.6666666666666666,0.6419753086419753,0.6540880503144654,0.6743450767841012
p11,2,16,32,0.3,0.0005,0.0,0.6481481481481481,0.8333333333333334,0.37037037037037035,0.5128205128205128,0.7198597774729462
p11,3,16,32,0.3,0.0005,0.0,0.6419753086419753,0.6575342465753424,0.5925925925925926,0.6233766233766234,0.6675811614083219
p11,4,16,32,0.3,0.0005,0.0,0.691358024691358,0.7083333333333334,0.6375,0.6710526315789473,0.7280487804878049
p11,5,16,32,0.3,0.0005,0.0,0.654320987654321,0.6935483870967742,0.5375,0.6056338028169014,0.6452743902439024
p11,1,16,32,0.3,0.0005,0.0001,0.656441717791411,0.6582278481012658,0.6419753086419753,0.65,0.6653116531165311
p11,2,16,32,0.3,0.0005,0.0001,0.6358024691358025,0.6170212765957447,0.7160493827160493,0.6628571428571428,0.7049230300259106
