Participant,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,subsample,mean_test_score,std_test_score,rank_test_score
p11,0.05,3,1,5,50,0.8,0.5480896823942947,0.038802720387588155,38
p11,0.05,3,1,5,50,1.0,0.5388345264381528,0.06461893369439332,74
p11,0.05,3,1,5,100,0.8,0.5222813402258835,0.04050541253798407,158
p11,0.05,3,1,5,100,1.0,0.5306151545680943,0.055986049284796786,114
p11,0.05,3,1,5,200,0.8,0.5161182201573403,0.028952510996556442,181
p11,0.05,3,1,5,200,1.0,0.5255135236974834,0.023093508560034805,134
p11,0.05,3,2,2,50,0.8,0.5438097275192406,0.03811666280707826,51
p11,0.05,3,2,2,50,1.0,0.5552139650697578,0.06757696847334267,18
p11,0.05,3,2,2,100,0.8,0.5347196340019699,0.039715618674393265,89
p11,0.05,3,2,2,100,1.0,0.5597526477286647,0.04623693623222252,10
p11,0.05,3,2,2,200,0.8,0.5200483674489031,0.03155750309581313,168
p11,0.05,3,2,2,200,1.0,0.5252665912853607,0.03350236281441634,135
p11,0.05,3,2,5,50,0.8,0.542495733175482,0.03890177175424961,55
p11,0.05,3,2,5,50,1.0,0.5403403158281213,0.05394742723495068,62
p11,0.05,3,2,5,100,0.8,0.5495369237890722,0.04032973815164459,34
p11,0.05,3,2,5,100,1.0,0.5531278616869646,0.048980575251920705,21
p11,0.05,3,2,5,200,0.8,0.5240490406756431,0.0314668114059432,145
p11,0.05,3,2,5,200,1.0,0.5322876218283826,0.018930243751886802,100
p11,0.05,4,1,2,50,0.8,0.5079073984766709,0.05352842468064712,198
p11,0.05,4,1,2,50,1.0,0.5478165965584694,0.06583636539062937,41
p11,0.05,4,1,2,100,0.8,0.5150778663648362,0.04733992006589954,185
p11,0.05,4,1,2,100,1.0,0.5596333122084909,0.048108333936159944,11
p11,0.05,4,1,2,200,0.8,0.5404850411993962,0.022214464992107604,60
p11,0.05,4,1,2,200,1.0,0.5448690332946613,0.05405775196981807,47
p11,0.05,4,1,5,50,0.8,0.5080652519490995,0.03967777771310265,197
p11,0.05,4,1,5,50,1.0,0.5259940347345142,0.05925293226734021,132
p11,0.05,4,1,5,100,0.8,0.5056231498420304,0.035941437665890336,200
p11,0.05,4,1,5,100,1.0,0.5169208083884019,0.03206337360053201,178
p11,0.05,4,1,5,200,0.8,0.5127475815185736,0.037842008641539304,190
p11,0.05,4,1,5,200,1.0,0.5439271235602459,0.024913210310781697,49
p11,0.05,4,2,2,50,0.8,0.5070648187792461,0.027445725811604576,199
p11,0.05,4,2,2,50,1.0,0.5603329874140286,0.05716672805938102,8
p11,0.05,4,2,2,100,0.8,0.5240297050467284,0.032882841395390654,146
p11,0.05,4,2,2,100,1.0,0.5700777827005403,0.06371631734704158,1
p11,0.05,4,2,2,200,0.8,0.5309865612154608,0.02696361142713391,112
p11,0.05,4,2,2,200,1.0,0.5608544671702566,0.055249012236474354,7
p11,0.05,4,2,5,50,0.8,0.5209782502739226,0.05501104648340499,165
p11,0.05,4,2,5,50,1.0,0.5688548835766738,0.06460447669678966,2
p11,0.05,4,2,5,100,0.8,0.5122656265221641,0.05094359494977996,191
p11,0.05,4,2,5,100,1.0,0.5637654814039254,0.060883759082588994,4
p11,0.05,4,2,5,200,0.8,0.5213642572913638,0.031250564553352275,162
p11,0.05,4,2,5,200,1.0,0.5598924419049942,0.05970056375217057,9
p11,0.1,2,1,2,50,0.8,0.5319229471391841,0.05919604401379564,106
p11,0.1,2,1,2,50,1.0,0.5307481310241524,0.055417361890539536,113
p11,0.1,2,1,2,100,0.8,0.5531083701161006,0.0476274444751046,22
p11,0.1,2,1,2,100,1.0,0.538275695199567,0.04408020985729814,78
p11,0.1,2,1,2,200,0.8,0.5321341168027163,0.03339723991486084,104
p11,0.1,2,1,2,200,1.0,0.5227718014011856,0.03346406131579211,152
p11,0.1,2,1,5,50,0.8,0.5319229471391841,0.05919604401379564,106
p11,0.1,2,1,5,50,1.0,0.5229383187574476,0.04182869665989875,150
p11,0.1,2,1,5,100,0.8,0.518461145128762,0.05062280494746827,172
p11,0.1,2,1,5,100,1.0,0.5296228450092713,0.03351677166985544,118
p11,0.1,2,1,5,200,0.8,0.5339035914024101,0.020747825331250584,92
p11,0.1,2,1,5,200,1.0,0.5386931893581031,0.011544013080782236,76
p11,0.1,2,2,2,50,0.8,0.5332827592856999,0.06234590993538013,95
p11,0.1,2,2,2,50,1.0,0.5213639772437182,0.04745335400558456,163
p11,0.1,2,2,2,100,0.8,0.5277762914287839,0.040376798443061995,125
p11,0.1,2,2,2,100,1.0,0.5325983432724468,0.022614496556663286,99
p11,0.1,2,2,2,200,0.8,0.553309919371021,0.03650467469767622,20
p11,0.1,2,2,2,200,1.0,0.5188661018602618,0.02006544604996891,171
p11,0.1,2,2,5,50,0.8,0.5332827592856999,0.06234590993538013,95
p11,0.1,2,2,5,50,1.0,0.5314496455944314,0.04200059087923339,110
p11,0.1,2,2,5,100,0.8,0.5248352155697125,0.043373844391178536,138
p11,0.1,2,2,5,100,1.0,0.532035005686652,0.042037190270084505,105
p11,0.1,2,2,5,200,0.8,0.550499804125748,0.029663278861466344,28
p11,0.1,2,2,5,200,1.0,0.5129369867944965,0.03328254510332133,189
p11,0.1,3,1,2,50,0.8,0.5395683686850211,0.035996303660138056,65
p11,0.1,3,1,2,50,1.0,0.5387289245817742,0.0493181725675321,75
p11,0.1,3,1,2,100,0.8,0.5334866104030584,0.02976911394236465,93
p11,0.1,3,1,2,100,1.0,0.5494300364411658,0.028439352487190594,35
p11,0.1,3,1,2,200,0.8,0.543118894502383,0.017821565252533977,52
p11,0.1,3,1,2,200,1.0,0.5296895573344497,0.01192413343245003,117
p11,0.1,3,1,5,50,0.8,0.5439126373673541,0.03153603890194111,50
p11,0.1,3,1,5,50,1.0,0.5363011992426573,0.028895346338915846,84
p11,0.1,3,1,5,100,0.8,0.5316634825894291,0.02139338410480424,108
p11,0.1,3,1,5,100,1.0,0.5268343312941661,0.04203792010695401,129
p11,0.1,3,1,5,200,0.8,0.5358429933717768,0.012025863778694577,87
p11,0.1,3,1,5,200,1.0,0.5496571818906062,0.028438172445864798,33
p11,0.1,3,2,2,50,0.8,0.5155083693584345,0.04115575768815791,184
p11,0.1,3,2,2,50,1.0,0.5270639242376857,0.05992635915228145,128
p11,0.1,3,2,2,100,0.8,0.5150604300099839,0.03127810315723341,186
p11,0.1,3,2,2,100,1.0,0.5105131111966534,0.03612455665799693,195
p11,0.1,3,2,2,200,0.8,0.5227018161349093,0.010210506214288774,153
p11,0.1,3,2,2,200,1.0,0.5362921285451807,0.02754931355102248,85
p11,0.1,3,2,5,50,0.8,0.5315507883023833,0.03738588854856983,109
p11,0.1,3,2,5,50,1.0,0.5273171949638282,0.05324174770808474,127
p11,0.1,3,2,5,100,0.8,0.5251704054228694,0.04268072446288785,137
p11,0.1,3,2,5,100,1.0,0.52949885995504,0.025139148334753336,120
p11,0.1,3,2,5,200,0.8,0.5392511835353971,0.02229509756480564,69
p11,0.1,3,2,5,200,1.0,0.5244613584704039,0.01175126712498912,139
p11,0.1,4,1,2,50,0.8,0.5329830270229432,0.07753672532161293,97
p11,0.1,4,1,2,50,1.0,0.5452972010083393,0.05575615196631027,45
p11,0.1,4,1,2,100,0.8,0.5203283492360194,0.052449966982619646,167
p11,0.1,4,1,2,100,1.0,0.5397972209177532,0.0405518850311657,63
p11,0.1,4,1,2,200,0.8,0.5216108157421184,0.04868153490180251,161
p11,0.1,4,1,2,200,1.0,0.5353216168598416,0.04361708434060645,88
p11,0.1,4,1,5,50,0.8,0.5421042303865702,0.049179248257608194,56
p11,0.1,4,1,5,50,1.0,0.5618989191695902,0.05036615063030826,5
p11,0.1,4,1,5,100,0.8,0.5385506503170365,0.05809636789806158,77
