CSV Name,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std
model_C-vad_MN-embedding_ET-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,57.40071428571428,48.230000000000004,20.28251519233925,2.4885714285714284,2.215,1.5819066253823488,47.93500000000001,40.86,21.44262675857816,6.976428571428572,4.915,5.637676290462584,45.08642857142856,53.705,20.93866559819338
model_C-vad_MMN-embedding_TL-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,62.401428571428575,62.08,19.88250056133354,0.5107142857142858,0.495,0.3682696396290732,58.56785714285714,59.010000000000005,21.286252760723446,3.3200000000000003,2.3200000000000003,2.600647848281122,38.11,38.3,20.140604986712024
model_C-vad_MMN-embedding_ET-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,64.08357142857143,63.55,20.45956823634317,0.5107142857142858,0.495,0.3682696396290732,58.56785714285714,59.010000000000005,21.286252760723446,5.002142857142857,3.295,3.7955078277260434,36.42857142857143,36.864999999999995,20.72337656521582
model_C-vad_TMN-embedding_TL-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,60.061428571428564,59.22,23.650520845506477,4.327142857142857,2.9,4.349122685308858,50.09857142857144,42.8,26.288168399532854,5.634285714285714,4.775,3.934628736831887,44.26571428571429,49.28,25.182382032587086
model_C-vad_TMN-embedding_ET-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,59.51571428571428,57.8,24.158597996217768,4.327142857142857,2.9,4.349122685308858,50.09857142857144,42.8,26.288168399532854,5.0878571428571435,3.63,3.427125232995923,44.81214285714286,52.045,25.95431316714087
model_C-vad_MN-embedding_TL-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,53.05499999999999,42.605000000000004,21.755669376050005,2.905714285714286,2.385,1.9182272035386227,44.573571428571434,37.39,22.733715594360607,5.577142857142858,4.36,2.9049041519244887,49.84928571428571,59.45,22.51579666479846
model_C-vad_MN-embedding_ET-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,54.904285714285706,47.29,21.957807342644738,2.905714285714286,2.385,1.9182272035386227,44.573571428571434,37.39,22.733715594360607,7.426428571428572,5.32,5.618041825764912,47.99928571428571,54.959999999999994,22.68127165892455
model_C-vad_MMN-embedding_TL-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,60.049285714285716,59.535,21.314288982632394,0.5985714285714285,0.58,0.44132418126251927,55.79928571428571,56.655,22.563821097665894,3.6528571428571426,2.525,2.638847150881287,40.548571428571435,40.894999999999996,21.60235096078589
model_C-vad_MMN-embedding_ET-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,61.76999999999999,61.445,22.10814677547971,0.5985714285714285,0.58,0.44132418126251927,55.79928571428571,56.655,22.563821097665894,5.3742857142857146,3.505,3.806093725928127,38.82714285714286,39.02,22.409023055138178
model_C-vad_TMN-embedding_TL-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,57.68071428571428,56.474999999999994,25.396665276032937,4.918571428571427,3.205,4.713371906106574,46.46499999999998,37.385,28.230944219746913,6.296428571428572,5.234999999999999,4.37876274612055,47.239285714285714,53.629999999999995,27.08233158474237
model_C-vad_TMN-embedding_ET-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,56.85999999999999,55.239999999999995,26.165406110417567,4.918571428571427,3.205,4.713371906106574,46.46499999999998,37.385,28.230944219746913,5.479285714285715,4.275,3.4945946486311907,48.05785714285714,56.8,28.13843721497516
model_C-vad_MN-embedding_TL-audio_DENOISED-speaker_FIXED-overlap_OVERLAP-params_OLD,43.419285714285714,38.385,12.769925886349425,4.878571428571428,4.245,2.6303607741520554,27.032142857142862,24.35,8.216748541449142,11.507857142857143,8.655000000000001,7.654843794388199,61.45928571428572,65.46000000000001,12.544278171148981
model_C-vad_MN-embedding_ET-audio_DENOISED-speaker_FIXED-overlap_OVERLAP-params_OLD,47.862142857142864,47.04,12.305771115507257,4.878571428571428,4.245,2.6303607741520554,27.032142857142862,24.35,8.216748541449142,15.952142857142858,16.555,7.750884990236155,57.01571428571428,61.075,12.532023419584364
model_C-vad_MMN-embedding_TL-audio_DENOISED-speaker_FIXED-overlap_OVERLAP-params_OLD,38.545714285714276,35.215,15.17075715076451,8.192142857142857,5.635,7.243088141405972,16.869285714285713,15.21,8.989289750574303,13.485000000000001,12.33,7.3647943728149095,69.64714285714287,72.52000000000001,13.484604000672213
model_C-vad_MMN-embedding_ET-audio_DENOISED-speaker_FIXED-overlap_OVERLAP-params_OLD,41.97285714285715,37.95,15.164919248851138,8.192142857142857,5.635,7.243088141405972,16.869285714285713,15.21,8.989289750574303,16.91,16.665,9.615431507577965,66.2192857142857,68.735,13.381617968338114
model_C-vad_TMN-embedding_TL-audio_DENOISED-speaker_FIXED-overlap_OVERLAP-params_OLD,40.23714285714285,34.975,18.040627410448824,13.029285714285715,9.07,11.325855012238227,16.556428571428572,13.855,9.670152816502203,10.65142857142857,9.21,7.302491521226329,72.79214285714286,76.94999999999999,13.194526941455354
