	Model Type	Audio Type	Speaker Mode	Overlap Mode	VAD	Embedding	video_id	DER	False Alarm %	Missed Speech %	Confusion %	Correct %
614	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_marblenet	ecapa_tdnn	p18-s15	35.77	3.67	29.33	2.77	67.9
615	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_marblenet	ecapa_tdnn	p18-s17	33.07	2.58	20.24	10.24	69.51
616	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p5-s8	28.5	5.78	14.76	7.96	77.29
617	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p5-s10	18.05	5.48	8.2	4.37	87.44
618	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p7-s8	48.06	7.23	18.29	22.54	59.17
619	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p7-s16	22.92	6.42	7.74	8.77	83.49
620	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p9-s3-1	64.57	9.87	34.74	19.97	45.29
621	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p9-s9	53.68	8.89	18.04	26.75	55.21
622	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p11-s4	19	6.81	5.72	6.46	87.82
623	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p11-s11	28.43	7.29	3.64	17.49	78.87
624	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p12-s3	78.77	26	5.53	47.25	47.22
625	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p12-s6	76.59	35.7	4.17	36.71	59.11
626	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p17-s2	17.08	5.74	6.77	4.57	88.66
627	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p17-s6	31.81	5.15	12.23	14.44	73.34
628	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p18-s15	16.29	3.54	7.76	4.99	87.24
629	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	titanet_large	p18-s17	20.03	3.47	8.79	7.77	83.44
630	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p5-s8	28.32	5.78	14.76	7.78	77.47
631	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p5-s10	18.63	5.48	8.2	4.96	86.85
632	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_multilingual_marblenet	ecapa_tdnn	p7-s8	53.04	7.23	18.29	27.52	54.19
