Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1
64,16,0.4,0.0005,0.0001,0.45566666666666666,0.37272727272727274,0.2901098901098901,0.3061850027367269
64,16,0.5,0.001,0.0,0.5606666666666666,0.5753547008547009,0.723076923076923,0.6318368557656655
64,16,0.5,0.001,0.0001,0.4953333333333334,0.43743653250773995,0.6373626373626374,0.5143421052631579
64,16,0.5,0.0005,0.0,0.618,0.6108642844569617,0.8516483516483516,0.7007936507936507
64,16,0.5,0.0005,0.0001,0.5116666666666667,0.5688888888888888,0.578021978021978,0.5666735697494512
64,32,0.2,0.001,0.0,0.52,0.532391304347826,0.7087912087912087,0.5553667953667953
64,32,0.2,0.001,0.0001,0.4956666666666666,0.5261204481792717,0.6208791208791208,0.5333754551515463
64,32,0.2,0.0005,0.0,0.5126666666666667,0.43082125603864735,0.6054945054945055,0.5002624167946748
64,32,0.2,0.0005,0.0001,0.49733333333333335,0.4241666666666667,0.5,0.45862068965517244
64,32,0.3,0.001,0.0,0.47133333333333327,0.4849523809523809,0.6406593406593407,0.529967098388151
64,32,0.3,0.001,0.0001,0.44800000000000006,0.4602364199268224,0.6747252747252747,0.5411904761904762
64,32,0.3,0.0005,0.0,0.5293333333333334,0.5396767001114827,0.7153846153846153,0.602075702075702
64,32,0.3,0.0005,0.0001,0.5376666666666667,0.5553773024361259,0.6824175824175824,0.6047965422728232
64,32,0.4,0.001,0.0,0.4803333333333334,0.49492424242424243,0.5505494505494506,0.5039308916970087
64,32,0.4,0.001,0.0001,0.4806666666666667,0.4900887021475257,0.7043956043956043,0.5689845633109389
64,32,0.4,0.0005,0.0,0.487,0.5125,0.46703296703296704,0.45568438616006085
64,32,0.4,0.0005,0.0001,0.4643333333333334,0.3781573498964803,0.5054945054945055,0.419047619047619
64,32,0.5,0.001,0.0,0.5203333333333333,0.549585326953748,0.7,0.6000473951336021
64,32,0.5,0.001,0.0001,0.554,0.5709394388086002,0.7450549450549451,0.6373924731182796
64,32,0.5,0.0005,0.0,0.45633333333333337,0.36764705882352944,0.36703296703296706,0.34898389669187635
64,32,0.5,0.0005,0.0001,0.5283333333333333,0.6169934640522876,0.5483516483516484,0.5366484392800182
64,64,0.2,0.001,0.0,0.4723333333333334,0.49490741559781803,0.7637362637362637,0.5938112172322698
64,64,0.2,0.001,0.0001,0.45666666666666667,0.4773240005384305,0.689010989010989,0.555436507936508
64,64,0.2,0.0005,0.0,0.48,0.5080548965997883,0.6406593406593407,0.5589488017429194
64,64,0.2,0.0005,0.0001,0.5286666666666666,0.5369420796594709,0.7780219780219781,0.6279474548440065
64,64,0.3,0.001,0.0,0.42333333333333345,0.46420821283979175,0.656043956043956,0.5341062245861008
64,64,0.3,0.001,0.0001,0.45633333333333337,0.4789242424242424,0.5813186813186814,0.5109800362976407
64,64,0.3,0.0005,0.0,0.6020000000000001,0.6051476517380407,0.7230769230769232,0.628875246213956
64,64,0.3,0.0005,0.0001,0.4566666666666667,0.48486317603964657,0.5769230769230769,0.5205228758169934
64,64,0.4,0.001,0.0,0.5203333333333333,0.5826054018445322,0.5780219780219781,0.538345213947648
64,64,0.4,0.001,0.0001,0.5373333333333334,0.5635488721804511,0.7120879120879122,0.5944687923016096
64,64,0.4,0.0005,0.0,0.5286666666666666,0.5684480519480519,0.6857142857142857,0.5904305857481902
64,64,0.4,0.0005,0.0001,0.521,0.4357564788153023,0.6384615384615385,0.5091172375382902
64,64,0.5,0.001,0.0,0.521,0.5404889228418641,0.6714285714285715,0.5908994708994708
64,64,0.5,0.001,0.0001,0.49733333333333335,0.5200111482720178,0.7021978021978021,0.5853091818609061
64,64,0.5,0.0005,0.0,0.4136666666666667,0.4143896103896104,0.4725274725274725,0.42454580896686167
64,64,0.5,0.0005,0.0001,0.521,0.5367366946778711,0.7098901098901098,0.5998780146606234
128,16,0.2,0.001,0.0,0.5623333333333334,0.5664164941338854,0.8065934065934066,0.6612792718125441
128,16,0.2,0.001,0.0001,0.5286666666666666,0.6366545893719806,0.5791208791208791,0.5095193954482051
128,16,0.2,0.0005,0.0,0.45566666666666666,0.38666666666666666,0.4725274725274725,0.4182935344225667
128,16,0.2,0.0005,0.0001,0.43166666666666664,0.33416666666666667,0.24285714285714288,0.2652330931822765
128,16,0.3,0.001,0.0,0.5126666666666666,0.4233287764866713,0.5340659340659342,0.46585185185185185
128,16,0.3,0.001,0.0001,0.5216666666666666,0.5330043290043289,0.6098901098901098,0.5149684669189313
128,16,0.3,0.0005,0.0,0.46399999999999997,0.4883333333333333,0.6263736263736264,0.48931788931788933
128,16,0.3,0.0005,0.0001,0.512,0.5291811594202899,0.8318681318681318,0.6415003024803388
128,16,0.4,0.001,0.0,0.5206666666666667,0.544360902255639,0.6406593406593407,0.5808333333333333
128,16,0.4,0.001,0.0001,0.43099999999999994,0.44071428571428567,0.45714285714285713,0.4168682741096534
128,16,0.4,0.0005,0.0,0.5770000000000001,0.5933095847034466,0.7703296703296704,0.6548775319942368
128,16,0.4,0.0005,0.0001,0.528,0.5578643578643578,0.5736263736263736,0.5461764705882353
128,16,0.5,0.001,0.0,0.5126666666666666,0.5240757575757575,0.8098901098901099,0.6220611173787217
128,16,0.5,0.001,0.0001,0.4873333333333333,0.5361111111111112,0.6098901098901098,0.5516658548916613
128,16,0.5,0.0005,0.0,0.4966666666666667,0.49575757575757573,0.5362637362637364,0.45960889685027617
128,16,0.5,0.0005,0.0001,0.4796666666666667,0.505437908496732,0.6263736263736263,0.5443967406438802
128,32,0.2,0.001,0.0,0.5373333333333334,0.5548550000723914,0.7032967032967032,0.6085090856855563
128,32,0.2,0.001,0.0001,0.48166666666666663,0.4028024606971975,0.45714285714285713,0.4237222222222222
128,32,0.2,0.0005,0.0,0.497,0.5225708502024291,0.5164835164835165,0.5042008757525999
128,32,0.2,0.0005,0.0001,0.5286666666666666,0.5452525879917184,0.8175824175824176,0.6441494125704652
128,32,0.3,0.001,0.0,0.4876666666666666,0.44252813852813855,0.45604395604395603,0.4195711500974658
128,32,0.3,0.001,0.0001,0.5293333333333333,0.5424675324675324,0.6956043956043956,0.5732902650549709
128,32,0.3,0.0005,0.0,0.49700000000000005,0.5047914438502674,0.7956043956043957,0.6062556390977444
128,32,0.3,0.0005,0.0001,0.4966666666666667,0.521437908496732,0.5956043956043956,0.5485513925065117
128,32,0.4,0.001,0.0,0.5516666666666667,0.5563492063492064,0.7538461538461538,0.6243341568418967
128,32,0.4,0.001,0.0001,0.4716666666666667,0.5251948051948052,0.3021978021978022,0.357037037037037
128,32,0.4,0.0005,0.0,0.553,0.6815656565656566,0.4978021978021978,0.5032448872966114
