Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Disengaged Precision,Disengaged Recall,Disengaged F1,Engaged Precision,Engaged Recall,Engaged F1,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,AUROC
p11,3,16,16,0.2,0.0005,0.0,0.6481481481481481,0.6333333333333333,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.6499999999999999,0.6481481481481481,0.6470588235294117,0.65,0.6481481481481481,0.6470588235294117,0.6677335771985977
p11,4,16,16,0.2,0.0005,0.0,0.7222222222222222,0.7032967032967034,0.7804878048780488,0.7398843930635838,0.7464788732394366,0.6625,0.7019867549668874,0.72488778826807,0.7214939024390243,0.7209355740152357,0.7246212316634852,0.7222222222222222,0.7211695100528696,0.7201219512195122
p11,5,16,16,0.2,0.0005,0.0,0.5925925925925926,0.5909090909090909,0.6341463414634146,0.611764705882353,0.5945945945945946,0.55,0.5714285714285714,0.5927518427518428,0.5920731707317073,0.5915966386554622,0.5927290927290928,0.5925925925925926,0.5918456271397448,0.6048780487804878
p11,1,16,16,0.2,0.0005,0.0001,0.6687116564417178,0.6590909090909091,0.7073170731707317,0.6823529411764706,0.68,0.6296296296296297,0.6538461538461539,0.6695454545454546,0.6684733514001806,0.6680995475113123,0.6694813162297825,0.6687116564417178,0.6681869916442273,0.685034628124059
p11,2,16,16,0.2,0.0005,0.0001,0.6604938271604939,0.6585365853658537,0.6666666666666666,0.6625766871165644,0.6625,0.654320987654321,0.6583850931677019,0.6605182926829268,0.6604938271604939,0.6604808901421331,0.6605182926829268,0.6604938271604939,0.6604808901421332,0.6896814509983235
p11,3,16,16,0.2,0.0005,0.0001,0.6358024691358025,0.6222222222222222,0.691358024691358,0.6549707602339181,0.6527777777777778,0.5802469135802469,0.6143790849673203,0.6375,0.6358024691358024,0.6346749226006192,0.6375000000000001,0.6358024691358025,0.6346749226006191,0.6663618350861149
p11,4,16,16,0.2,0.0005,0.0001,0.7345679012345679,0.7096774193548387,0.8048780487804879,0.7542857142857143,0.7681159420289855,0.6625,0.7114093959731543,0.7388966806919122,0.7336890243902439,0.7328475551294343,0.7385359490704667,0.7345679012345679,0.7331122237609934,0.7160060975609757
p11,5,16,16,0.2,0.0005,0.0001,0.5925925925925926,0.5909090909090909,0.6341463414634146,0.611764705882353,0.5945945945945946,0.55,0.5714285714285714,0.5927518427518428,0.5920731707317073,0.5915966386554622,0.5927290927290928,0.5925925925925926,0.5918456271397448,0.6035060975609755
p11,1,16,16,0.3,0.001,0.0,0.6809815950920245,0.6595744680851063,0.7560975609756098,0.7045454545454546,0.7101449275362319,0.6049382716049383,0.6533333333333333,0.6848596978106691,0.680517916290274,0.678939393939394,0.6847045737019233,0.6809815950920245,0.6790964863357501,0.6910569105691058
p11,2,16,16,0.3,0.001,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6985215668343239
p11,3,16,16,0.3,0.001,0.0,0.6604938271604939,0.6477272727272727,0.7037037037037037,0.6745562130177515,0.6756756756756757,0.6172839506172839,0.6451612903225806,0.6617014742014742,0.6604938271604939,0.659858751670166,0.6617014742014741,0.6604938271604939,0.659858751670166,0.6750495351318396
p11,4,16,16,0.3,0.001,0.0,0.654320987654321,0.63,0.7682926829268293,0.6923076923076923,0.6935483870967742,0.5375,0.6056338028169014,0.6617741935483872,0.6528963414634146,0.6489707475622968,0.6613819195539626,0.654320987654321,0.6495057715714992,0.6946646341463415
p11,5,16,16,0.3,0.001,0.0,0.5987654320987654,0.5955056179775281,0.6463414634146342,0.6198830409356725,0.6027397260273972,0.55,0.5751633986928104,0.5991226720024627,0.598170731707317,0.5975232198142415,0.5990780170145006,0.5987654320987654,0.5977992669885801,0.6079268292682927
p11,1,16,16,0.3,0.001,0.0001,0.6932515337423313,0.6702127659574468,0.7682926829268293,0.7159090909090909,0.7246376811594203,0.6172839506172839,0.6666666666666666,0.6974252235584335,0.6927883167720565,0.6912878787878788,0.6972582759657895,0.6932515337423313,0.6914389291689906,0.6928635953026197
p11,2,16,16,0.3,0.001,0.0001,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6986739826245998
p11,3,16,16,0.3,0.001,0.0001,0.654320987654321,0.6404494382022472,0.7037037037037037,0.6705882352941176,0.6712328767123288,0.6049382716049383,0.6363636363636364,0.655841157457288,0.654320987654321,0.653475935828877,0.655841157457288,0.654320987654321,0.653475935828877,0.6744398719707361
p11,4,16,16,0.3,0.001,0.0001,0.7160493827160493,0.6875,0.8048780487804879,0.7415730337078652,0.7575757575757576,0.625,0.684931506849315,0.7225378787878788,0.7149390243902439,0.7132522702785902,0.7221053123830902,0.7160493827160493,0.7136019093332725,0.7176829268292683
p11,5,16,16,0.3,0.001,0.0001,0.5987654320987654,0.5977011494252874,0.6341463414634146,0.6153846153846154,0.6,0.5625,0.5806451612903226,0.5988505747126437,0.5983231707317074,0.598014888337469,0.5988363842769974,0.5987654320987654,0.5982293294121251,0.6086890243902439
p11,1,16,16,0.3,0.0005,0.0,0.6687116564417178,0.6458333333333334,0.7560975609756098,0.6966292134831461,0.7014925373134329,0.5802469135802469,0.6351351351351351,0.6736629353233832,0.6681722372779284,0.6658821743091405,0.6734922015688429,0.6687116564417178,0.6660708064513124,0.6773562180066245
p11,2,16,16,0.3,0.0005,0.0,0.6728395061728395,0.675,0.6666666666666666,0.6708074534161491,0.6707317073170732,0.6790123456790124,0.6748466257668712,0.6728658536585366,0.6728395061728395,0.6728270395915101,0.6728658536585367,0.6728395061728395,0.6728270395915101,0.6939490931260479
p11,3,16,16,0.3,0.0005,0.0,0.654320987654321,0.6404494382022472,0.7037037037037037,0.6705882352941176,0.6712328767123288,0.6049382716049383,0.6363636363636364,0.655841157457288,0.654320987654321,0.653475935828877,0.655841157457288,0.654320987654321,0.653475935828877,0.6669714982472184
p11,4,16,16,0.3,0.0005,0.0,0.6975308641975309,0.6896551724137931,0.7317073170731707,0.7100591715976331,0.7066666666666667,0.6625,0.6838709677419355,0.6981609195402299,0.6971036585365853,0.6969650696697842,0.6980559103164468,0.6975308641975309,0.6971267252491404,0.7129573170731707
p11,5,16,16,0.3,0.0005,0.0,0.5987654320987654,0.5955056179775281,0.6463414634146342,0.6198830409356725,0.6027397260273972,0.55,0.5751633986928104,0.5991226720024627,0.598170731707317,0.5975232198142415,0.5990780170145006,0.5987654320987654,0.5977992669885801,0.6053353658536585
p11,1,16,16,0.3,0.0005,0.0001,0.6625766871165644,0.6421052631578947,0.7439024390243902,0.6892655367231638,0.6911764705882353,0.5802469135802469,0.6308724832214765,0.666640866873065,0.6620746763023186,0.6600690099723201,0.6664903416968984,0.6625766871165644,0.6602481297683376,0.6781090033122552
p11,2,16,16,0.3,0.0005,0.0001,0.6728395061728395,0.675,0.6666666666666666,0.6708074534161491,0.6707317073170732,0.6790123456790124,0.6748466257668712,0.6728658536585366,0.6728395061728395,0.6728270395915101,0.6728658536585367,0.6728395061728395,0.6728270395915101,0.6951684194482549
p11,3,16,16,0.3,0.0005,0.0001,0.6481481481481481,0.6363636363636364,0.691358024691358,0.6627218934911243,0.6621621621621622,0.6049382716049383,0.632258064516129,0.6492628992628993,0.6481481481481481,0.6474899790036266,0.6492628992628994,0.6481481481481481,0.6474899790036267,0.6666666666666666
p11,4,16,16,0.3,0.0005,0.0001,0.7037037037037037,0.6931818181818182,0.7439024390243902,0.7176470588235294,0.7162162162162162,0.6625,0.6883116883116883,0.7046990171990173,0.703201219512195,0.7029793735676089,0.7045568295568295,0.7037037037037037,0.7031604561016326,0.7109756097560975
p11,5,16,16,0.3,0.0005,0.0001,0.5987654320987654,0.5955056179775281,0.6463414634146342,0.6198830409356725,0.6027397260273972,0.55,0.5751633986928104,0.5991226720024627,0.598170731707317,0.5975232198142415,0.5990780170145006,0.5987654320987654,0.5977992669885801,0.6062500000000001
p11,1,16,16,0.4,0.001,0.0,0.6687116564417178,0.6521739130434783,0.7317073170731707,0.6896551724137931,0.6901408450704225,0.6049382716049383,0.6447368421052632,0.6711573790569504,0.6683227943390545,0.6671960072595282,0.6710409160752726,0.6687116564417178,0.667333793548818,0.6839807286961759
p11,2,16,16,0.4,0.001,0.0,0.6666666666666666,0.6708860759493671,0.654320987654321,0.6625,0.6626506024096386,0.6790123456790124,0.6707317073170732,0.6667683391795028,0.6666666666666667,0.6666158536585366,0.6667683391795028,0.6666666666666666,0.6666158536585366,0.7014174668495656
p11,3,16,16,0.4,0.001,0.0,0.6358024691358025,0.6222222222222222,0.691358024691358,0.6549707602339181,0.6527777777777778,0.5802469135802469,0.6143790849673203,0.6375,0.6358024691358024,0.6346749226006192,0.6375000000000001,0.6358024691358025,0.6346749226006191,0.6753543667123914
p11,4,16,16,0.4,0.001,0.0,0.6728395061728395,0.6526315789473685,0.7560975609756098,0.7005649717514124,0.7014925373134329,0.5875,0.6394557823129252,0.6770620581304007,0.671798780487805,0.6700103770321688,0.6767604472762891,0.6728395061728395,0.670387594250925,0.7033536585365854
p11,5,16,16,0.4,0.001,0.0,0.6111111111111112,0.6067415730337079,0.6585365853658537,0.631578947368421,0.6164383561643836,0.5625,0.5882352941176471,0.6115899645990457,0.6105182926829269,0.609907120743034,0.611530107913054,0.6111111111111112,0.6101746741581623,0.6140243902439024
p11,1,16,16,0.4,0.001,0.0001,0.6625766871165644,0.6483516483516484,0.7195121951219512,0.6820809248554913,0.6805555555555556,0.6049382716049383,0.6405228758169934,0.664453601953602,0.6622252333634447,0.6613019003362424,0.6643548169621789,0.6625766871165644,0.6614293790142746,0.6851851851851852
p11,2,16,16,0.4,0.001,0.0001,0.654320987654321,0.6623376623376623,0.6296296296296297,0.6455696202531646,0.6470588235294118,0.6790123456790124,0.6626506024096386,0.6546982429335371,0.654320987654321,0.6541101113314016,0.6546982429335371,0.654320987654321,0.6541101113314016,0.691358024691358
p11,3,16,16,0.4,0.001,0.0001,0.6358024691358025,0.6222222222222222,0.691358024691358,0.6549707602339181,0.6527777777777778,0.5802469135802469,0.6143790849673203,0.6375,0.6358024691358024,0.6346749226006192,0.6375000000000001,0.6358024691358025,0.6346749226006191,0.6756591982929432
p11,4,16,16,0.4,0.001,0.0001,0.6975308641975309,0.6813186813186813,0.7560975609756098,0.7167630057803468,0.7183098591549296,0.6375,0.6754966887417219,0.6998142702368055,0.6967987804878049,0.6961298472610343,0.699585929632878,0.6975308641975309,0.6963845776131247,0.7140243902439024
p11,5,16,16,0.4,0.001,0.0001,0.5987654320987654,0.5934065934065934,0.6585365853658537,0.6242774566473989,0.6056338028169014,0.5375,0.5695364238410596,0.5995201981117474,0.5980182926829268,0.5969069402442293,0.5994447215104491,0.5987654320987654,0.5972448478541449,0.6114329268292683
p11,1,16,16,0.4,0.0005,0.0,0.6932515337423313,0.6666666666666666,0.7804878048780488,0.7191011235955056,0.7313432835820896,0.6049382716049383,0.6621621621621622,0.6990049751243781,0.6927130382414936,0.6906316428788339,0.6988065805939627,0.6932515337423313,0.6908063022697337,0.686841312857573
p11,2,16,16,0.4,0.0005,0.0,0.6666666666666666,0.6708860759493671,0.654320987654321,0.6625,0.6626506024096386,0.6790123456790124,0.6707317073170732,0.6667683391795028,0.6666666666666667,0.6666158536585366,0.6667683391795028,0.6666666666666666,0.6666158536585366,0.6937966773357721
p11,3,16,16,0.4,0.0005,0.0,0.654320987654321,0.6436781609195402,0.691358024691358,0.6666666666666666,0.6666666666666666,0.6172839506172839,0.6410256410256411,0.6551724137931034,0.654320987654321,0.6538461538461539,0.6551724137931034,0.654320987654321,0.653846153846154,0.6759640298734949
p11,4,16,16,0.4,0.0005,0.0,0.7037037037037037,0.6931818181818182,0.7439024390243902,0.7176470588235294,0.7162162162162162,0.6625,0.6883116883116883,0.7046990171990173,0.703201219512195,0.7029793735676089,0.7045568295568295,0.7037037037037037,0.7031604561016326,0.7176829268292683
p11,5,16,16,0.4,0.0005,0.0,0.5987654320987654,0.5955056179775281,0.6463414634146342,0.6198830409356725,0.6027397260273972,0.55,0.5751633986928104,0.5991226720024627,0.598170731707317,0.5975232198142415,0.5990780170145006,0.5987654320987654,0.5977992669885801,0.6102134146341465
p11,1,16,16,0.4,0.0005,0.0001,0.6809815950920245,0.6595744680851063,0.7560975609756098,0.7045454545454546,0.7101449275362319,0.6049382716049383,0.6533333333333333,0.6848596978106691,0.680517916290274,0.678939393939394,0.6847045737019233,0.6809815950920245,0.6790964863357501,0.6866907557964468
