Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,4,16,32,0.5,0.001,0.0001,0.7037037037037037,0.7285714285714285,0.6375,0.68,0.7106707317073171
p11,5,16,32,0.5,0.001,0.0001,0.5246913580246914,0.5132743362831859,0.725,0.6010362694300518,0.5873475609756098
p11,1,16,32,0.5,0.0005,0.0,0.656441717791411,0.6712328767123288,0.6049382716049383,0.6363636363636364,0.6948208370972598
p11,2,16,32,0.5,0.0005,0.0,0.6728395061728395,0.6590909090909091,0.7160493827160493,0.6863905325443787,0.7209266880048774
p11,3,16,32,0.5,0.0005,0.0,0.6172839506172839,0.6266666666666667,0.5802469135802469,0.6025641025641025,0.656607224508459
p11,4,16,32,0.5,0.0005,0.0,0.6790123456790124,0.6891891891891891,0.6375,0.6623376623376623,0.7364329268292683
p11,5,16,32,0.5,0.0005,0.0,0.4567901234567901,0.474025974025974,0.9125,0.6239316239316239,0.54375
p11,1,16,32,0.5,0.0005,0.0001,0.6625766871165644,0.6857142857142857,0.5925925925925926,0.6357615894039735,0.6918096958747365
p11,2,16,32,0.5,0.0005,0.0001,0.6728395061728395,0.6707317073170732,0.6790123456790124,0.6748466257668712,0.7122389879591525
p11,3,16,32,0.5,0.0005,0.0001,0.6049382716049383,0.6049382716049383,0.6049382716049383,0.6049382716049383,0.6738302088096327
p11,4,16,32,0.5,0.0005,0.0001,0.6358024691358025,0.647887323943662,0.575,0.609271523178808,0.6774390243902438
p11,5,16,32,0.5,0.0005,0.0001,0.5740740740740741,0.6078431372549019,0.3875,0.4732824427480916,0.5333841463414635
p11,1,16,64,0.2,0.001,0.0,0.6503067484662577,0.6875,0.5432098765432098,0.6068965517241379,0.6743450767841013
p11,2,16,64,0.2,0.001,0.0,0.6604938271604939,0.6710526315789473,0.6296296296296297,0.6496815286624203,0.733272367017223
p11,3,16,64,0.2,0.001,0.0,0.6111111111111112,0.618421052631579,0.5802469135802469,0.5987261146496815,0.6526444139612865
p11,4,16,64,0.2,0.001,0.0,0.6604938271604939,0.7049180327868853,0.5375,0.6099290780141844,0.6969512195121951
p11,5,16,64,0.2,0.001,0.0,0.5061728395061729,0.5,0.8625,0.6330275229357798,0.49237804878048785
p11,1,16,64,0.2,0.001,0.0001,0.6503067484662577,0.6764705882352942,0.5679012345679012,0.6174496644295302,0.6808190304125263
p11,2,16,64,0.2,0.001,0.0001,0.6790123456790124,0.6933333333333334,0.6419753086419753,0.6666666666666666,0.7183356195701874
p11,3,16,64,0.2,0.001,0.0001,0.654320987654321,0.6623376623376623,0.6296296296296297,0.6455696202531646,0.6712391403749429
p11,4,16,64,0.2,0.001,0.0001,0.691358024691358,0.7083333333333334,0.6375,0.6710526315789473,0.7152439024390245
p11,5,16,64,0.2,0.001,0.0001,0.6111111111111112,0.6349206349206349,0.5,0.5594405594405595,0.6317073170731708
p11,1,16,64,0.2,0.0005,0.0,0.6196319018404908,0.6338028169014085,0.5555555555555556,0.5921052631578947,0.6818729298404096
p11,2,16,64,0.2,0.0005,0.0,0.6666666666666666,0.6708860759493671,0.654320987654321,0.6625,0.7206218564243255
p11,3,16,64,0.2,0.0005,0.0,0.5987654320987654,0.6052631578947368,0.5679012345679012,0.5859872611464968,0.635116598079561
p11,4,16,64,0.2,0.0005,0.0,0.6419753086419753,0.6571428571428571,0.575,0.6133333333333333,0.6826219512195122
p11,5,16,64,0.2,0.0005,0.0,0.5123456790123457,0.5041322314049587,0.7625,0.6069651741293532,0.555030487804878
p11,1,16,64,0.2,0.0005,0.0001,0.6687116564417178,0.7547169811320755,0.49382716049382713,0.5970149253731343,0.6946702800361337
p11,2,16,64,0.2,0.0005,0.0001,0.6172839506172839,0.6862745098039216,0.43209876543209874,0.5303030303030303,0.683127572016461
p11,3,16,64,0.2,0.0005,0.0001,0.6419753086419753,0.6493506493506493,0.6172839506172839,0.6329113924050633,0.653101661332114
p11,4,16,64,0.2,0.0005,0.0001,0.6790123456790124,0.6794871794871795,0.6625,0.6708860759493671,0.7035060975609757
p11,5,16,64,0.2,0.0005,0.0001,0.5740740740740741,0.5797101449275363,0.5,0.5369127516778524,0.5746951219512195
p11,1,16,64,0.3,0.001,0.0,0.6257668711656442,0.6388888888888888,0.5679012345679012,0.6013071895424836,0.6788617886178862
p11,2,16,64,0.3,0.001,0.0,0.6851851851851852,0.6973684210526315,0.654320987654321,0.6751592356687898,0.7303764670019814
p11,3,16,64,0.3,0.001,0.0,0.6296296296296297,0.6615384615384615,0.5308641975308642,0.589041095890411,0.6681908245694254
p11,4,16,64,0.3,0.001,0.0,0.654320987654321,0.6538461538461539,0.6375,0.6455696202531646,0.6885670731707318
p11,5,16,64,0.3,0.001,0.0,0.5555555555555556,0.5298507462686567,0.8875,0.6635514018691588,0.6524390243902438
p11,1,16,64,0.3,0.001,0.0001,0.6441717791411042,0.6575342465753424,0.5925925925925926,0.6233766233766234,0.7077687443541102
p11,2,16,64,0.3,0.001,0.0001,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.699740893156531
p11,3,16,64,0.3,0.001,0.0001,0.6358024691358025,0.6527777777777778,0.5802469135802469,0.6143790849673203,0.6544734034445969
p11,4,16,64,0.3,0.001,0.0001,0.6296296296296297,0.6428571428571429,0.5625,0.6,0.679878048780488
p11,5,16,64,0.3,0.001,0.0001,0.5308641975308642,0.5227272727272727,0.575,0.5476190476190477,0.5597560975609757
p11,1,16,64,0.3,0.0005,0.0,0.6932515337423313,0.7183098591549296,0.6296296296296297,0.6710526315789473,0.6979825353809095
p11,2,16,64,0.3,0.0005,0.0,0.6481481481481481,0.6463414634146342,0.654320987654321,0.6503067484662577,0.7087334247828074
p11,3,16,64,0.3,0.0005,0.0,0.6419753086419753,0.6666666666666666,0.5679012345679012,0.6133333333333333,0.6761164456637708
p11,4,16,64,0.3,0.0005,0.0,0.6604938271604939,0.6712328767123288,0.6125,0.6405228758169934,0.704420731707317
p11,5,16,64,0.3,0.0005,0.0,0.5308641975308642,0.5909090909090909,0.1625,0.2549019607843137,0.5527439024390244
p11,1,16,64,0.3,0.0005,0.0001,0.6441717791411042,0.6716417910447762,0.5555555555555556,0.6081081081081081,0.6884974405299609
p11,2,16,64,0.3,0.0005,0.0001,0.6234567901234568,0.631578947368421,0.5925925925925926,0.6114649681528662,0.6924249352232892
p11,3,16,64,0.3,0.0005,0.0001,0.6604938271604939,0.696969696969697,0.5679012345679012,0.6258503401360545,0.6770309404054259
p11,4,16,64,0.3,0.0005,0.0001,0.654320987654321,0.6463414634146342,0.6625,0.654320987654321,0.7047256097560977
p11,5,16,64,0.3,0.0005,0.0001,0.5246913580246914,0.56,0.175,0.26666666666666666,0.5338414634146342
p11,1,16,64,0.4,0.001,0.0,0.6625766871165644,0.6911764705882353,0.5802469135802469,0.6308724832214765,0.6648599819331527
p11,2,16,64,0.4,0.001,0.0,0.6728395061728395,0.675,0.6666666666666666,0.6708074534161491,0.7323578722755677
p11,3,16,64,0.4,0.001,0.0,0.6049382716049383,0.6133333333333333,0.5679012345679012,0.5897435897435898,0.6421277244322512
p11,4,16,64,0.4,0.001,0.0,0.654320987654321,0.6818181818181818,0.5625,0.6164383561643836,0.7015243902439025
p11,5,16,64,0.4,0.001,0.0,0.4876543209876543,0.48514851485148514,0.6125,0.5414364640883977,0.5164634146341464
p11,1,16,64,0.4,0.001,0.0001,0.6625766871165644,0.6756756756756757,0.6172839506172839,0.6451612903225806,0.7100271002710027
p11,2,16,64,0.4,0.001,0.0001,0.6604938271604939,0.6547619047619048,0.6790123456790124,0.6666666666666666,0.7219935985368083
p11,3,16,64,0.4,0.001,0.0001,0.6234567901234568,0.631578947368421,0.5925925925925926,0.6114649681528662,0.647005029721079
p11,4,16,64,0.4,0.001,0.0001,0.6604938271604939,0.6712328767123288,0.6125,0.6405228758169934,0.6952743902439025
p11,5,16,64,0.4,0.001,0.0001,0.5679012345679012,0.5735294117647058,0.4875,0.527027027027027,0.5835365853658536
p11,1,16,64,0.4,0.0005,0.0,0.656441717791411,0.6712328767123288,0.6049382716049383,0.6363636363636364,0.6993375489310448
p11,2,16,64,0.4,0.0005,0.0,0.6481481481481481,0.625,0.7407407407407407,0.6779661016949152,0.7187928669410152
p11,3,16,64,0.4,0.0005,0.0,0.6604938271604939,0.6756756756756757,0.6172839506172839,0.6451612903225806,0.6720012193263222
p11,4,16,64,0.4,0.0005,0.0,0.6790123456790124,0.6944444444444444,0.625,0.6578947368421053,0.7132621951219511
