Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,16,16,0.4,0.0005,0.0,0.6687116564417178,0.684931506849315,0.6172839506172839,0.6493506493506493,0.6880457693465823
p11,2,16,16,0.4,0.0005,0.0,0.6851851851851852,0.6829268292682927,0.691358024691358,0.6871165644171779,0.7079713458314281
p11,3,16,16,0.4,0.0005,0.0,0.6296296296296297,0.6438356164383562,0.5802469135802469,0.6103896103896104,0.6614845297972869
p11,4,16,16,0.4,0.0005,0.0,0.6790123456790124,0.6891891891891891,0.6375,0.6623376623376623,0.7274390243902439
p11,5,16,16,0.4,0.0005,0.0,0.6234567901234568,0.6172839506172839,0.625,0.6211180124223602,0.6210365853658537
p11,1,16,16,0.4,0.0005,0.0001,0.6748466257668712,0.6842105263157895,0.6419753086419753,0.6624203821656051,0.6767539897621199
p11,2,16,16,0.4,0.0005,0.0001,0.5740740740740741,0.5434782608695652,0.9259259259259259,0.684931506849315,0.687852461515013
p11,3,16,16,0.4,0.0005,0.0001,0.6358024691358025,0.6375,0.6296296296296297,0.6335403726708074,0.651882335009907
p11,4,16,16,0.4,0.0005,0.0001,0.6851851851851852,0.6986301369863014,0.6375,0.6666666666666666,0.7240853658536586
p11,5,16,16,0.4,0.0005,0.0001,0.5493827160493827,0.5333333333333333,0.7,0.6054054054054054,0.6132621951219511
p11,1,16,16,0.5,0.001,0.0,0.656441717791411,0.6623376623376623,0.6296296296296297,0.6455696202531646,0.6734417344173442
p11,2,16,16,0.5,0.001,0.0,0.6728395061728395,0.6590909090909091,0.7160493827160493,0.6863905325443787,0.718945282731291
p11,3,16,16,0.5,0.001,0.0,0.6358024691358025,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6448712086572168
p11,4,16,16,0.5,0.001,0.0,0.6851851851851852,0.6835443037974683,0.675,0.6792452830188679,0.744359756097561
p11,5,16,16,0.5,0.001,0.0,0.6481481481481481,0.6716417910447762,0.5625,0.6122448979591837,0.6704268292682926
p11,1,16,16,0.5,0.001,0.0001,0.656441717791411,0.6623376623376623,0.6296296296296297,0.6455696202531646,0.6794640168623909
p11,2,16,16,0.5,0.001,0.0001,0.6604938271604939,0.6477272727272727,0.7037037037037037,0.6745562130177515,0.7232129248590154
p11,3,16,16,0.5,0.001,0.0001,0.6358024691358025,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6531016613321139
p11,4,16,16,0.5,0.001,0.0001,0.6790123456790124,0.6842105263157895,0.65,0.6666666666666666,0.7292682926829268
p11,5,16,16,0.5,0.001,0.0001,0.6049382716049383,0.5851063829787234,0.6875,0.632183908045977,0.6172256097560975
